puzzle,tie-breaking method,heuristic function,#expirement,#expand nodes,time per node,#ties,#steps in solution,overall time,#second ties,#nodes in memory
4.c,G-H,manhattan,0,6434,0.00083739,6425,36,5.387767516,6351,12688
4.d,G-H,manhattan,0,1278,0.000196459,1264,31,0.251074649,1215,2585
4.e,G-H,manhattan,0,15276,0.002003464,15265,34,30.60490922,15180,30205
4.a,G-H,manhattan,1,79113,0.009852368,79101,41,779.4504284,78984,150892
4.b,G-H,manhattan,1,235526,0.040470099,235511,44,9531.760498,235358,447197
4.c,G-H,manhattan,1,6434,0.000841998,6425,36,5.41741702,6351,12688
4.d,G-H,manhattan,1,1278,0.000196085,1264,31,0.250596263,1215,2585
4.e,G-H,manhattan,1,15276,0.002005171,15265,34,30.63099014,15180,30205
4.a,G-H,manhattan,2,79113,0.00992182,79101,41,784.9449281,78984,150892
4.b,G-H,manhattan,2,235526,0.040859641,235511,44,9623.507921,235358,447197
4.c,G-H,manhattan,2,6434,0.000835834,6425,36,5.377754204,6351,12688
4.d,G-H,manhattan,2,1278,0.000197056,1264,31,0.251837976,1215,2585
4.e,G-H,manhattan,2,15276,0.002007762,15265,34,30.67056781,15180,30205
4.a,RANDOM,manhattan,0,78719,0.008658352,79304,41,681.5767974,0,150197
4.b,RANDOM,manhattan,0,217088,0.03522967,218410,44,7647.938577,0,414418
4.c,RANDOM,manhattan,0,5667,0.00069759,5672,36,3.953241885,0,11270
4.d,RANDOM,manhattan,0,1154,0.000162426,1149,31,0.187439553,0,2339
4.e,RANDOM,manhattan,0,15217,0.001691951,15312,34,25.74641243,0,30089
4.a,RANDOM,manhattan,1,78924,0.008660394,79493,41,683.5129599,0,150556
4.b,RANDOM,manhattan,1,215818,0.035721905,217139,44,7709.430045,0,412102
4.c,RANDOM,manhattan,1,5517,0.000683304,5517,36,3.769790471,0,10959
4.d,RANDOM,manhattan,1,1143,0.000158944,1134,31,0.181673348,0,2316
4.e,RANDOM,manhattan,1,14906,0.001660428,15018,34,24.75033799,0,29502
4.a,RANDOM,manhattan,2,78747,0.00857447,79325,41,675.2138261,0,150264
4.b,RANDOM,manhattan,2,226382,0.036964631,227707,44,8368.127101,0,430895
4.c,RANDOM,manhattan,2,5718,0.000701372,5724,36,4.010446779,0,11346
4.d,RANDOM,manhattan,2,1115,0.000158566,1108,31,0.176800832,0,2268
4.e,RANDOM,manhattan,2,15127,0.001684756,15234,34,25.48529918,0,29937
4.a,H-RAND,manhattan,0,22101,0.003054461,22280,41,67.50664896,9824,42964
4.b,H-RAND,manhattan,0,53394,0.006149197,53640,44,328.3302244,22550,103114
4.c,H-RAND,manhattan,0,1143,0.000172191,1140,36,0.196814165,408,2278
4.d,H-RAND,manhattan,0,235,6.73E-05,218,31,0.015813716,59,481
4.e,H-RAND,manhattan,0,4088,0.000614522,4104,34,2.512166858,1779,8204
4.a,H-RAND,manhattan,1,22519,0.003140508,22717,41,70.72111005,10053,43801
4.b,H-RAND,manhattan,1,53374,0.006137387,53614,44,327.5768711,22531,103072
4.c,H-RAND,manhattan,1,1159,0.000176344,1154,36,0.204383008,413,2316
4.d,H-RAND,manhattan,1,250,7.20E-05,245,31,0.018000551,63,516
4.e,H-RAND,manhattan,1,3934,0.000572257,3945,34,2.251259744,1683,7897
4.a,H-RAND,manhattan,2,22860,0.003214077,23057,41,73.47379945,10238,44496
4.b,H-RAND,manhattan,2,53348,0.006129999,53594,44,327.0231932,22511,103021
4.c,H-RAND,manhattan,2,1157,0.00017657,1156,36,0.204291254,412,2312
4.d,H-RAND,manhattan,2,238,6.89E-05,228,31,0.016387567,60,489
4.e,H-RAND,manhattan,2,3963,0.000580087,3972,34,2.29888583,1705,7946
4.a,H-DEPTH-L,manhattan,0,75562,0.007355238,76110,41,555.7765067,142176,144613
4.b,H-DEPTH-L,manhattan,0,187918,0.029377488,189251,44,5520.558729,352401,362341
4.c,H-DEPTH-L,manhattan,0,2819,0.000326185,2817,36,0.919516322,4787,5717
4.d,H-DEPTH-L,manhattan,0,509,7.51E-05,508,31,0.038250817,730,1044
4.e,H-DEPTH-L,manhattan,0,12969,0.00122477,13067,34,15.88404068,23791,25756
4.a,H-DEPTH-L,manhattan,1,75487,0.006558619,76039,41,495.0904399,141981,144466
4.b,H-DEPTH-L,manhattan,1,178520,0.028450572,179845,44,5078.996074,335053,345058
4.c,H-DEPTH-L,manhattan,1,2493,0.000300129,2500,36,0.74822129,4159,5077
4.d,H-DEPTH-L,manhattan,1,588,8.04E-05,582,31,0.047254574,864,1208
4.e,H-DEPTH-L,manhattan,1,12819,0.00122059,12923,34,15.64674781,23540,25461
4.a,H-DEPTH-L,manhattan,2,69538,0.006647506,70107,41,462.2543059,130842,133723
4.b,H-DEPTH-L,manhattan,2,180899,0.026448993,182186,44,4784.596383,339314,349448
4.c,H-DEPTH-L,manhattan,2,2577,0.000297957,2581,36,0.767835719,4304,5201
4.d,H-DEPTH-L,manhattan,2,547,7.61E-05,546,31,0.041608293,751,1114
4.e,H-DEPTH-L,manhattan,2,12860,0.001214419,12969,34,15.61742347,23567,25531
4.a,H-DEPTH-F,manhattan,0,59890,0.005585116,60404,41,334.4926025,106744,115939
4.b,H-DEPTH-F,manhattan,0,109260,0.013098773,109970,44,1431.171954,201295,213987
4.c,H-DEPTH-F,manhattan,0,1866,0.000220303,1866,36,0.411085808,3043,3748
4.d,H-DEPTH-F,manhattan,0,476,7.00E-05,471,31,0.033322386,741,980
4.e,H-DEPTH-F,manhattan,0,12485,0.001141029,12562,34,14.24575066,20772,24979
4.a,H-DEPTH-F,manhattan,1,48791,0.00498002,49253,41,242.9801316,90419,94790
4.b,H-DEPTH-F,manhattan,1,97824,0.011867285,98493,44,1160.905263,178262,191574
4.c,H-DEPTH-F,manhattan,1,2227,0.000259636,2230,36,0.578209025,3712,4494
4.d,H-DEPTH-F,manhattan,1,479,6.89E-05,475,31,0.033018809,753,993
4.e,H-DEPTH-F,manhattan,1,10122,0.001016701,10184,34,10.29104813,17360,20367
4.a,H-DEPTH-F,manhattan,2,69511,0.006133786,70062,41,426.3655911,120843,133377
4.b,H-DEPTH-F,manhattan,2,103926,0.013060502,104599,44,1357.325701,190490,203769
4.c,H-DEPTH-F,manhattan,2,1817,0.000221295,1815,36,0.402092501,2936,3650
4.d,H-DEPTH-F,manhattan,2,371,5.71E-05,361,31,0.021185504,540,752
4.e,H-DEPTH-F,manhattan,2,11144,0.001080115,11215,34,12.03679673,18835,22380
